Index,Name,Brand,Category,Price,Stock,EAN,Color,Size,Availability,Internal ID
1,Thermostat Drone Heater,Bradford-Yu,Kitchen Appliances,74,139,8619793560985,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Douglas Group,Fitness Equipment,510,351,3057216124300,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Landry-Austin,Beauty & Personal Care,254,409,9825254410556,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,"Odom, Norton and Foster",Makeup,69,119,9490814777808,Pink,XL,in_stock,94
5,Pro Toaster Oven,"Fowler, Mendoza and Mcdaniel",Automotive,525,727,4726650403799,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Burton-Gould,Team Sports,413,566,9016454988741,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,"Soto, Raymond and Doyle",Health & Wellness,621,245,4116090222997,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,"Padilla, Dunn and Pruitt",Laptops & Computers,414,559,4970509402222,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Hughes and Sons,Home & Kitchen,858,525,4349285091157,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Mcbride-Wyatt,Health & Wellness,153,550,1301175488525,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,"Wilkins, Horne and Farrell",Health & Wellness,738,417,5524070542772,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,"Miranda, Lucero and Blevins",Shoes & Footwear,367,511,1842348818614,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Marshall Group,Grooming Tools,867,679,5099801218115,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Tanner LLC,Clothing & Apparel,356,904,1607017968263,DarkBlue,S,backorder,88
15,Premium Brush Scale Grill Plus Plus,Mathews and Sons,Smartwatches,439,987,6130539086788,MintCream,M,out_of_stock,71
16,Vacuum Router Toaster,Stephenson PLC,Team Sports,245,412,3512687913957,LightSeaGreen,L,out_of_stock,6
17,Digital Clock Lock Eco Premium Portable,Leonard LLC,Office Supplies,999,14,1286011880117,SeaShell,XL,in_stock,83
